date,city,state,country,shape,duration_seconds,duration,comment,report_date,latitude,longitude
1999-08-15 23:18:00,aztec,nm,us,light,180.0,3min,I saw an incredibly brilliant bluish white light  traveling at an uncomprehendable speed&#33,2002-07-01,36.8222222,-107.9922222
2011-09-21 11:00:00,parker,co,us,changing,600.0,10 minutes,Sphere transforms into transparent sheet.flyes away at high.speed.,2013-07-03,39.5186111,-104.7608333
2007-06-23 23:15:00,old station,ca,us,light,60.0,1 minute,A bright object in the night sky flashed brighter as it moved through the sky.,2007-08-07,40.6752778,-121.4297222
2011-12-03 23:35:00,pointplace,oh,,fireball,35.0,35 seconds,I was walking my dog saw a yellowish white fire ball flying over Lake Erie as it crossed land it done like a 90 degree turn acelerated,2011-12-12,41.718937,-83.479378
2008-02-13 23:30:00,ayden,nc,us,oval,3.0,3 seconds,Unexpected UFO Sighting,2008-03-04,35.4725,-77.4158333
2013-03-25 20:30:00,waldorf,md,us,triangle,120.0,2 minutes,A hovering black triangle in a snow storm.,2013-04-12,38.6244444,-76.9394444
2013-08-03 23:30:00,san jose,ca,us,fireball,1800.0,30 minutes,Orange red fireball seen 4 times above San Jose&#44 Ca.  8/3/13,2013-08-30,37.3394444,-121.8938889
1999-03-15 22:10:00,new york city (bronx),ny,us,circle,300.0,4-5 minutes,there it was two round circles gliding across the sky heading west toward manhattan college.,2003-04-22,40.7141667,-74.0063889
2001-04-25 00:18:00,valmy,nv,us,cylinder,720.0,12 minutes,Cylinder flying object west on I-80 before Winnemucca&#44 Nevada with bright strange lights.,2001-10-12,40.7927778,-117.1258333
2013-09-26 19:40:00,cincinnati,oh,us,circle,180.0,3 minutes,Seen two orange fire balls rotating around each other with no sound and lasted for a few min Them the bright light vanished and the fle,2013-09-30,39.1619444,-84.4569444
2008-02-17 00:00:00,haslett,mi,us,triangle,120.0,2 minutes,Friend and I were coming back from picking her check up when we noticed a big triangle shaped object flying slow and very low over some,2008-03-04,42.7469444,-84.4011111
2001-03-29 20:30:00,las vegas,nv,us,formation,1800.0,30 min.,The four red lights that buzzed Nellis A.F.B. &amp;&amp; The one Orange one that played cat,2001-04-01,36.175,-115.1363889
2013-05-08 22:00:00,lubbock,tx,us,light,180.0,3 minutes,Sighting over Lubbock,2013-05-15,33.5777778,-101.8547222
2010-03-09 21:30:00,la palma,ca,us,cigar,300.0,5 minutes,Lights over orange county,2010-04-13,33.8463889,-118.0458333
1980-12-30 23:30:00,chicopee,ma,us,diamond,300.0,5 minutes,Black diamond with green lights lands on porch roof,2003-10-31,42.1486111,-72.6083333
2006-03-15 20:10:00,rinard,il,us,light,600.0,10 minutes,two rows of amber-orange lights in sky,2006-05-15,38.5705556,-88.4655556
1985-06-01 13:00:00,prineville,or,us,other,900.0,15 minutes,Small silver pyramid object just above the power lines observed for about fifteen minutes in the mid 80&#39s,2004-04-27,44.3,-120.8333333
2000-05-01 01:00:00,new york city,ny,us,flash,3.0,3 seconds,flashing lights zig-zag,2003-10-31,40.7141667,-74.0063889
2005-12-24 19:35:00,philadelphia,pa,us,triangle,60.0,1 minute,V SHAPE (5 LIGHTS) FLYING OBJECT IN THE WEST PHILADELPHIA AREA ON 12/24/05 17:35. STEALTH?,2006-02-14,39.9522222,-75.1641667
2003-04-26 23:00:00,arlington,tx,us,light,5.0,5 seconds,Leap-frogging lights - 3 in front group and one trailing behind.,2003-05-02,32.7355556,-97.1077778
1977-03-15 20:30:00,stevens pass (ski resort),wa,,sphere,180.0,3 minutes,Scintillating orange sphere; exhibits near-instantaneous acceleration from stationary,2004-03-02,47.746222,-121.085933
1999-11-26 17:50:00,redondo beach,ca,us,formation,10.0,10 sec.,Blue-green luninescent objects moving at a high rate of speed&#44 producing no sound and maneuvering at incredible angles to each other.,1999-12-16,33.8491667,-118.3875
2006-11-21 20:45:00,waterloo (north of),ny,us,triangle,15.0,15 seconds,Triangular Craft with Bright LED-like flashers moving west over I-90,2006-12-07,42.9047222,-76.8630556
2011-05-05 23:00:00,east bethel,mn,us,circle,7200.0,2 hours,Green circle light&#44 that emited yellow and red colors&#44 stayed fixed in sky for two hours.,2011-05-12,45.3194444,-93.2022222
2004-07-09 21:15:00,reno,nv,us,light,600.0,10 minutes,two bright lights were fading in and out and sped off at incredible speeds,2005-05-24,39.5297222,-119.8127778
2013-07-04 22:18:00,conway,ar,us,unknown,300.0,5 minutes,Four solid orange UFO&#39s flying over the night sky.,2013-07-14,35.0886111,-92.4419444
1999-05-25 19:30:00,poulsbo,wa,us,cigar,1800.0,30 min,Late at night&#44 saw four or five lights about 200-300 ft in air&#44 about 1inch (my scale) apart in a straight line (cigar?).,2002-12-23,47.7361111,-122.6452778
2003-06-30 20:00:00,hong kong (china),,,other,3600.0,1 hour,glowing Ball in delta formation 1000ft wide over Hong Kong,2006-05-15,22.396428,114.109497
2004-06-17 11:30:00,puyallup,wa,us,sphere,1200.0,20 minutes,2 possible crafts seen over Puyallup&#44WA,2004-06-18,47.1855556,-122.2916667
2012-08-18 21:00:00,spotsylvania,va,us,triangle,300.0,5:00,Orange glowing lights in sky over spotsylvania near courthouse,2012-08-19,38.2008333,-77.5894444
2014-04-18 22:01:00,chico,ca,us,disk,1740.0,~29 minutes,After going on the back porch for a smoke&#44 what I saw was unbeliveable&#44 we moved to the parking lot for a better onobstructed view.,2014-04-24,39.7286111,-121.8363889
2010-10-27 21:00:00,decatur,ar,us,light,1200.0,20 minutes,object was just a spherical very bright white light with no other blinking lights,2010-11-21,36.3358333,-94.4605556
2007-05-01 22:00:00,gaithersburg,md,us,triangle,900.0,15 minutes,I saw several flying lights heading from north to south.  ((NUFORC Note:  Report from student.  PD)),2007-06-12,39.1433333,-77.2016667
2013-07-04 18:30:00,broken arrow,ok,us,sphere,14400.0,4 hours,5-6 Reddish Orange Orbs spotted around the greater Tulsa area 4th July night.,2013-08-30,36.0525,-95.7905556
2009-09-19 21:15:00,lusby,md,us,unknown,420.0,5 to 7 minutes,Verry large wite light. Was not moving. Very large surrounding area lite up. ((NUFORC Note:  Missile launch.  PD)),2009-12-12,38.4105556,-76.4555556
2013-08-31 19:00:00,mt. airy,nc,us,light,9000.0,2.50 hours,Unidentifiable lights over NW North Carolina with constant rumbling&#44 total of 12 over 2 and 1/2 hour time period.  Surry County.,2013-09-09,36.4991667,-80.6075
2004-06-16 13:18:00,portland,or,us,sphere,180.0,3 minutes,Object seen in sky over Downtown Portland Oregon moving very slowly coming from N.E. Direction to S.W. direction.  Appeared silver in c,2004-06-18,45.5236111,-122.675
2013-10-23 19:45:00,wlimington,ma,,chevron,300.0,3-5 minutes,Chevron shaped craft.,2014-04-04,42.548171,-71.172447
1999-06-01 11:30:00,manchester (uk/england),,gb,triangle,120.0,2mins,Triangle and jet &#39stuck&#39 behind cloud meet behind cloud and only jet emerges,2001-04-01,53.5,-2.216667
2013-06-25 23:45:00,williamsport,pa,us,fireball,60.0,1 minute,Orange glowing ball over Williamsport&#44  PA,2013-07-14,41.2411111,-77.0013889
2012-02-16 20:00:00,monroe,mi,us,light,7200.0,less than 2 hours,Weird light above the fields on M-50 again&#33  ((NUFORC Note:  Possible sighting of Jupiter and Venus??  PD)),2012-03-13,41.9163889,-83.3977778
2004-03-15 19:30:00,new castle,de,us,circle,120.0,2 minutes,Two white lights traveling at a very fast speed.,2004-03-17,39.6619444,-75.5666667
2010-07-04 22:30:00,lakeville,mn,us,sphere,60.0,1 minute,Three glowing orange balls in Minnesota on july 4th 2010,2010-11-21,44.6497222,-93.2425
2006-07-25 19:00:00,boston (uk/england),,gb,circle,300.0,5 minutes,Silver disk emitting yellow light seen over Boston&#44 Lincolnshire&#44 England.,2007-06-12,52.983333,-0.016667
2013-08-07 12:15:00,desert center,ca,us,unknown,72000.0,20.00.00,2 air crafts moving from north to south not too fast I couldn&#39t tell what shape they were but they were definitely on identifiable I wo,2013-08-30,33.7125,-115.4013889
2011-10-15 19:30:00,fresno,ca,us,oval,180.0,3 mins.,Four oval objects 15&quot;x20&quot; emitting beams with bright orange read glow suspended 100 ft. overhead for 15secs. took off N-east,2011-10-25,36.7477778,-119.7713889
2008-01-24 19:00:00,valley,al,us,fireball,8.0,00:08,It appeared to be a meteorite and it fizzled out before it landed.,2008-02-14,32.8186111,-85.1794444
2003-08-13 01:00:00,sacramento,ca,us,oval,10.0,10 seconds,transluscent green oval travelling in a straight line heading due north at approximately 10 to15 degrees per second.,2003-12-09,38.5816667,-121.4933333
2007-10-25 21:00:00,victoria (canada),bc,ca,light,60.0,60 seconds,Two seperate sightings&#44 from living room window&#44 west coast of Canada,2007-11-28,46.216667,-63.483333
1995-01-05 20:10:00,sumner,wa,us,disk,40.0,20-40 sec,ship flew almost over my head and it was comming in for a landing. I was shook up and would&#44nt go after it and this is why. est 250ft l,2010-11-21,47.2033333,-122.2391667
2013-05-26 21:30:00,saint petersburg,fl,us,sphere,180.0,2-3 minutes,Orange Reddish sphere heading west in the sky rapidly and disappeared into a small dot.,2013-06-02,27.7705556,-82.6794444
2003-10-18 11:15:00,everett,wa,us,sphere,30.0,30 seconds,Red&#44 blue&#44 and green lights&#44 in one sphere shaped object.,2003-10-31,47.9791667,-122.2008333
2001-09-01 01:31:00,roswell,ga,us,formation,10.0,approx 10 seconds,I had just finished eating dinner at the Waffle House on Cobb Parkway when I began to feel a tingling sensation in my right rear molar,2001-10-12,34.0230556,-84.3616667
1975-06-10 20:00:00,rockdale,tx,us,other,3600.0,1 hour,I cannot swear this was a UFO&#44 but would like to compare our &quot;sighting&quot; with others to see what they think.,2000-12-02,30.6552778,-97.0011111
2000-06-20 22:00:00,southampton (uk/england),,gb,unknown,180.0,2-3 mins,i was driving with a mate of mine 1 night &#44it was about 10pm we had just started to drive over a bridge just as we reached the other si,2004-06-23,50.9,-1.4
2005-10-30 00:00:00,glendale,ky,us,other,2.0,2 seconds,On October 30th&#44 2005 at 7:50 pm Near Glendale&#44 Ky.&#44 My fiance and I were traveling south bound on interstate 65 around mile marker 84,2005-11-03,37.6016667,-85.9055556
2003-10-07 23:06:00,waterloo,ia,us,teardrop,120.0,2 min,They had flashy lights,2003-10-15,42.4927778,-92.3427778
2007-05-08 18:21:00,westchester (northern),ny,us,disk,30.0,30 seconds,Small disk shaped object high in sky quickly appeared and disappeared on May 8th at 6:21pm.,2007-06-12,40.8472222,-73.8552778
2010-02-22 22:40:00,swarthmore,pa,us,flash,15.0,~15 seconds,blue-green explosions? light up sky in Swarthmore PA,2010-04-13,39.9019444,-75.3502778
2013-10-04 21:50:00,salem,or,us,triangle,900.0,15 minutes,Brilliant star-like object hovers above trees and shines bright lights before changing into golden triangle.,2013-10-14,44.9430556,-123.0338889
2008-04-27 22:11:00,harrington,wa,us,light,5.0,3-5 seconds,Two adult males witness a peculiar flare of light in the nighttime sky; not a flare from an Iridium satellite.,2008-06-12,47.4811111,-118.2533333
1965-07-20 20:30:00,santa ana,ca,us,circle,300.0,5 mins.,While driving through the intersection of 17&#39th St. &amp; Prospect Ave.&#44 in the Santa Ana/No. Tustin area just before dusk on a Summer even,1999-01-28,33.7455556,-117.8669444
